Word,Count
,319
the,185
Language:,176
Author:,163
*,149
to,138
Category:,115
a,109
and,108
Description:,99
for,96
in,91
is,82
of,71
language,66
with,62
-,53
as,50
from,44
string,43
Contributors:,41
or,41
be,37
by,36
not,35
class,35
relevance,32
==>,32
keywords,31
v8,31
if,27
function,27
number,26
it,26
this,26
definition,25
end,24
are,24
on,24
системные,24
line,23
booster,22
Requires:,22
registers,22
перечисления,22
highlighting,21
literal,21
code,21
that,20
=,20
return,20
comment,20
:,20
but,19
else,19
scripting,19
The,19
only,18
common,18
start,18
used,17
new,17
we,17
tags,17
Website:,16
D,16
@type,16
literals,16
programming,16
do,15
functional,15
an,15
mode,15
at,14
{Object},14
template,14
config,14
should,13
{,13
following,13
//,13
more,13
scientific,13
Ivan,12
double,12
Language,12
type,12
while,12
all,12
syntax,12
character,12
integer,12
hex,12
text,12
break,12
highlight,12
false,11
+,11
disable,11
view,11
object,11
after,11
\',\,11
inline,11
types,11
first,11
module,11
<maniac@softwaremaniacs.org>,11
float,11
\common,\,11
have,11
default,11
Sagalaev,11
no,10
continue,10
when,10
catch,10
global,10
prevent,10
file,10
scrollbar,10
try,10
where,10
see,10
them,10
void,10
char,10
close,10
wrap,10
followed,10
HTML,10
like,10
var,10
variables,10
case,10
xml.js,9
register,9
x,9
set,9
gutter,9
defined,9
brackets,9
throw,9
static,9
list,9
MIT,9
include,9
container,9
Syntax,9
using,9
hide,9
then,9
title,9
autopairing,9
block,9
==,9
reference,9
export,8
v,8
escaped,8
functions,8
single,8
end:,8
switch,8
element,8
quote,8
system,8
|,8
value,8
beginning,8
This,8
allow,8
which,8
just,8
variable,8
attributes,8
recognized,8
print,8
button,8
options,8
blocks,8
other,8
local,8
QML,8
Oleg,8
special,8
also,8
tag,8
PB,8
format,8
will,8
jQuery,8
being,8
keyword,8
error,7
parameters,7
has,7
numbers,7
/,7
avoid,7
delete,7
regexp,7
import,7
up,7
space,7
strings,7
private,7
names,7
IDE,7
token,7
may,7
isa,7
support,7
last,7
Sergey,7
decimal,7
word,7
can,7
inside,7
Efimov,7
