File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\xampp\htdocs\Sprogramming\layout\js\ajax-post.js,195,163,137,15,31,0,1,3,0,0
C:\xampp\htdocs\Sprogramming\layout\js\bootstrap.min.js,7,2,277,1,0,0,5,17,5,17
C:\xampp\htdocs\Sprogramming\layout\js\chat.js,43,40,30,3,3,0,0,0,0,0
C:\xampp\htdocs\Sprogramming\layout\js\clipboard.min.js,7,1,152,0,0,0,6,14,6,14
C:\xampp\htdocs\Sprogramming\layout\js\croppie.js,1597,1322,953,159,228,8,47,188,6,12
C:\xampp\htdocs\Sprogramming\layout\js\end.js,618,533,394,27,75,14,10,101,0,0
C:\xampp\htdocs\Sprogramming\layout\js\endGroup.js,727,604,478,45,93,11,30,274,0,0
C:\xampp\htdocs\Sprogramming\layout\js\endProject.js,502,451,209,31,42,3,9,28,0,0
C:\xampp\htdocs\Sprogramming\layout\js\endProject2.js,400,363,148,16,33,3,4,20,0,0
C:\xampp\htdocs\Sprogramming\layout\js\friend.js,15,14,11,1,1,0,0,0,0,0
C:\xampp\htdocs\Sprogramming\layout\js\gallary.js,9,9,7,0,0,0,0,0,0,0
C:\xampp\htdocs\Sprogramming\layout\js\highlight.js,817,625,421,122,96,11,96,531,4,7
C:\xampp\htdocs\Sprogramming\layout\js\highlight.pack.js,2,1,94,0,0,1,1,2688,1,2688
C:\xampp\htdocs\Sprogramming\layout\js\highlightJquery.js,88,66,40,9,6,2,16,24,15,13
C:\xampp\htdocs\Sprogramming\layout\js\Home.js,9,6,4,0,2,0,1,1,0,0
C:\xampp\htdocs\Sprogramming\layout\js\jquery-1.12.1.min.js,6,4,843,1,1,1,1,231,1,10
C:\xampp\htdocs\Sprogramming\layout\js\jquery-ui.min.js,13,8,1724,1,1,0,4,69,4,69
C:\xampp\htdocs\Sprogramming\layout\js\jquery.form.min.js,11,1,122,0,0,0,10,42,10,42
C:\xampp\htdocs\Sprogramming\layout\js\jquery.nicescroll.min.js,2,1,445,0,0,0,1,8,1,8
C:\xampp\htdocs\Sprogramming\layout\js\jquery.selectBoxIt.min.js,4,1,143,0,0,0,3,16,3,16
C:\xampp\htdocs\Sprogramming\layout\js\masonry.pkgd.min.js,9,1,255,0,1,0,7,20,7,20
C:\xampp\htdocs\Sprogramming\layout\js\postGroupUpload.js,193,180,157,14,13,0,0,0,0,0
C:\xampp\htdocs\Sprogramming\layout\js\prism.js,157,154,1532,0,1,15,2,58,2,4
C:\xampp\htdocs\Sprogramming\layout\js\pusher.me.js,40,16,14,1,5,0,19,39,1,9
C:\xampp\htdocs\Sprogramming\layout\js\require.js,5,1,175,0,0,1,4,34,4,34
C:\xampp\htdocs\Sprogramming\layout\js\simplebar.js,498,331,286,37,97,3,70,309,0,0
C:\xampp\htdocs\Sprogramming\layout\js\languages\1c.js,516,414,65,1,48,0,54,362,6,17
C:\xampp\htdocs\Sprogramming\layout\js\languages\abnf.js,76,62,21,1,10,0,4,9,4,9
C:\xampp\htdocs\Sprogramming\layout\js\languages\accesslog.js,44,32,13,1,2,0,10,18,5,12
C:\xampp\htdocs\Sprogramming\layout\js\languages\actionscript.js,80,71,17,1,4,0,5,9,5,9
C:\xampp\htdocs\Sprogramming\layout\js\languages\ada.js,182,110,28,1,14,0,58,295,17,125
C:\xampp\htdocs\Sprogramming\layout\js\languages\apache.js,55,43,13,1,2,0,10,50,8,26
C:\xampp\htdocs\Sprogramming\layout\js\languages\applescript.js,92,84,16,1,3,2,5,15,5,12
C:\xampp\htdocs\Sprogramming\layout\js\languages\arduino.js,107,99,5,1,2,0,6,34,6,34
C:\xampp\htdocs\Sprogramming\layout\js\languages\armasm.js,99,83,37,1,5,16,11,68,6,18
C:\xampp\htdocs\Sprogramming\layout\js\languages\asciidoc.js,197,159,49,1,2,1,36,153,8,29
C:\xampp\htdocs\Sprogramming\layout\js\languages\aspectj.js,150,139,23,1,1,0,10,75,5,25
C:\xampp\htdocs\Sprogramming\layout\js\languages\autohotkey.js,66,54,14,1,3,1,9,40,6,13
C:\xampp\htdocs\Sprogramming\layout\js\languages\autoit.js,143,121,27,1,12,0,10,122,6,13
C:\xampp\htdocs\Sprogramming\layout\js\languages\avrasm.js,68,58,10,1,2,4,8,29,5,10
C:\xampp\htdocs\Sprogramming\layout\js\languages\awk.js,60,52,17,1,2,0,6,15,6,15
C:\xampp\htdocs\Sprogramming\layout\js\languages\axapta.js,37,30,6,1,2,0,5,9,5,9
C:\xampp\htdocs\Sprogramming\layout\js\languages\bash.js,82,68,17,1,3,1,11,23,6,12
