File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\xampp\htdocs\Sprogramming\layout\js\bootstrap.min.js,"Error(""Bootstrap's JavaScript requires jQuery"");+function(a)",1,1,1,0,0,0,0,0,
C:\xampp\htdocs\Sprogramming\layout\js\croppie.js,naturalImageDimensions(img),9,9,9,2,0,0,0,0,
C:\xampp\htdocs\Sprogramming\layout\js\croppie.js,"function(x, y, scale)",4,4,4,0,0,0,0,0,
C:\xampp\htdocs\Sprogramming\layout\js\croppie.js,function(v),10,10,7,4,0,0,0,0,
C:\xampp\htdocs\Sprogramming\layout\js\croppie.js,function(v),7,6,5,2,1,0,0,0,
C:\xampp\htdocs\Sprogramming\layout\js\croppie.js,function(v),8,7,3,1,1,0,0,0,
C:\xampp\htdocs\Sprogramming\layout\js\croppie.js,function(),3,3,3,1,0,0,0,0,
C:\xampp\htdocs\Sprogramming\layout\js\croppie.js,function(el),9,9,8,1,0,0,0,0,
C:\xampp\htdocs\Sprogramming\layout\js\croppie.js,function(),2,2,2,1,0,0,0,0,
C:\xampp\htdocs\Sprogramming\layout\js\croppie.js,getExifOrientation(img),2,2,2,1,0,0,0,0,
C:\xampp\htdocs\Sprogramming\layout\js\croppie.js,"drawCanvas(canvas, img, orientation)",56,48,38,8,8,0,0,0,
C:\xampp\htdocs\Sprogramming\layout\js\croppie.js,_create(),70,54,44,5,12,0,4,8,
C:\xampp\htdocs\Sprogramming\layout\js\croppie.js,_hasExif(),2,2,2,1,0,0,0,0,
C:\xampp\htdocs\Sprogramming\layout\js\croppie.js,_initializeResize(),135,112,92,9,23,0,0,0,
C:\xampp\htdocs\Sprogramming\layout\js\croppie.js,_setZoomerVal(v),7,6,4,1,1,0,0,0,
C:\xampp\htdocs\Sprogramming\layout\js\croppie.js,_initializeZoom(),54,44,34,2,10,4,0,40,
C:\xampp\htdocs\Sprogramming\layout\js\croppie.js,_onZoom(ui),46,39,29,5,7,0,0,0,
C:\xampp\htdocs\Sprogramming\layout\js\croppie.js,_getVirtualBoundaries(viewport),39,34,14,1,5,0,0,0,
C:\xampp\htdocs\Sprogramming\layout\js\croppie.js,_updateCenterPoint(),25,21,15,0,4,0,0,0,
C:\xampp\htdocs\Sprogramming\layout\js\croppie.js,_initDraggable(),172,147,108,17,25,0,0,0,
C:\xampp\htdocs\Sprogramming\layout\js\croppie.js,_updateOverlay(),11,10,4,0,1,0,0,0,
C:\xampp\htdocs\Sprogramming\layout\js\croppie.js,_triggerUpdate(),24,21,16,3,3,0,0,0,
C:\xampp\htdocs\Sprogramming\layout\js\croppie.js,_isVisible(),2,2,2,1,0,0,0,0,
C:\xampp\htdocs\Sprogramming\layout\js\croppie.js,_updatePropertiesFromImage(),46,37,26,3,8,0,1,10,
C:\xampp\htdocs\Sprogramming\layout\js\croppie.js,_updateZoomLimits(initial),34,29,15,3,5,0,0,0,
C:\xampp\htdocs\Sprogramming\layout\js\croppie.js,_bindPoints(points),26,23,11,1,2,0,1,5,
C:\xampp\htdocs\Sprogramming\layout\js\croppie.js,_centerImage(),12,11,3,0,1,0,0,0,
